type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-01-06,69.89,1143,80044.11842426998,5.3672,Recovery ALL: sentiment 5.4 >= 5 (buy remaining),1.0,W2020,GOOGL,
SELL,2020-02-24,70.99,1434,101596.16247966001,15.1767,AND: sentiment 15.2 > 15 & price < MA50,,W2020,GOOGL,1.5991143429697257
BUY,2020-02-27,65.75,308,20291.522251,3.2847,Interval B1: sentiment 3.3 < 5 (enter buy mode),1.0,W2020,GOOGL,
BUY,2020-03-05,65.74,308,20288.436087919992,-0.0012,Interval B2: 7d since last buy,2.0,W2020,GOOGL,
BUY,2020-03-12,55.58,364,20271.602471119993,-5.75,Interval B3: 7d since last buy,3.0,W2020,GOOGL,
BUY,2020-03-19,55.58,364,20271.602471119993,-7.3168,Interval B4: 7d since last buy,4.0,W2020,GOOGL,
BUY,2020-03-26,58.15,348,20276.692636199994,-6.6966,Interval B5: 7d since last buy,5.0,W2020,GOOGL,
BUY,2020-05-22,70.66,2,141.60278131999996,5.2856,Recovery ALL: sentiment 5.3 >= 5 (buy remaining),40.0,W2020,GOOGL,
SELL,2021-09-28,135.83,1694,229636.05805602003,10.2924,AND: sentiment 10.3 > 10 & price < MA50,,W2021,GOOGL,126.15004846193456
BUY,2021-10-12,136.45,335,45802.21721074999,4.8617,Interval B1: sentiment 4.9 < 5 (enter buy mode),1.0,W2021,GOOGL,
BUY,2021-10-15,141.37,1298,183865.44001825998,5.1747,Recovery ALL: sentiment 5.2 >= 5 (buy remaining),1.0,W2021,GOOGL,
SELL,2021-10-22,137.57,1633,224202.73103181,10.4321,AND: sentiment 10.4 > 10 & price < MA50,,W2021,GOOGL,-2.3794931611771006
BUY,2021-11-23,145.78,307,44844.01367445998,4.4998,Interval B1: sentiment 4.5 < 5 (enter buy mode),1.0,W2021,GOOGL,
BUY,2021-11-30,141.9,315,44787.94169849999,0.3412,Interval B2: 7d since last buy,2.0,W2021,GOOGL,
BUY,2021-12-07,147.27,303,44712.10024281,-1.9317,Interval B3: 7d since last buy,3.0,W2021,GOOGL,
BUY,2021-12-14,143.91,311,44845.56677600999,1.8831,Interval B4: 7d since last buy,4.0,W2021,GOOGL,
BUY,2021-12-21,143.47,313,44995.967126109994,5.6746,Recovery ALL: sentiment 5.7 >= 5 (buy remaining),4.0,W2021,GOOGL,
SELL,2025-09-04,232.3,1549,359113.3944327,30.3181,OR: sentiment 30.3 > 30,,W2025,GOOGL,60.185761807871664
BUY,2020-01-15,93.1,214,19963.266723399996,3.2624,Interval B1: sentiment 3.3 < 5 (enter buy mode),1.0,W2020,AMZN,
BUY,2020-01-22,94.37,211,19951.914052069995,2.8993,Interval B2: 7d since last buy,2.0,W2020,AMZN,
BUY,2020-01-29,92.9,214,19920.381080599996,-1.5021,Interval B3: 7d since last buy,3.0,W2020,AMZN,
BUY,2020-02-05,101.99,195,19927.845988049994,2.7397,Interval B4: 7d since last buy,4.0,W2020,AMZN,
BUY,2020-02-10,106.7,189,20206.652766299998,6.7652,Recovery ALL: sentiment 6.8 >= 5 (buy remaining),4.0,W2020,AMZN,
SELL,2020-09-08,157.49,1023,160790.20657227002,21.2773,AND: sentiment 21.3 > 15 & price < MA50,,W2020,AMZN,60.83836059564285
BUY,2020-10-30,151.81,211,32096.005851909995,3.1677,Interval B1: sentiment 3.2 < 5 (enter buy mode),1.0,W2020,AMZN,
BUY,2020-11-06,165.57,775,128573.51181674996,5.9319,Recovery ALL: sentiment 5.9 >= 5 (buy remaining),1.0,W2020,AMZN,
SELL,2023-09-20,135.29,986,133129.28151594,16.1595,AND: sentiment 16.2 > 10 & price < MA50,,W2023,AMZN,-17.14092165852809
BUY,2023-09-26,125.98,211,26634.970141779995,2.3322,Interval B1: sentiment 2.3 < 5 (enter buy mode),1.0,W2023,AMZN,
BUY,2023-10-03,124.72,213,26618.517285359994,-5.3733,Interval B2: 7d since last buy,2.0,W2023,AMZN,
BUY,2023-10-10,129.48,205,26596.51334339999,-0.7931,Interval B3: 7d since last buy,3.0,W2023,AMZN,
BUY,2023-10-16,132.55,402,53391.723485099996,6.2296,Recovery ALL: sentiment 6.2 >= 5 (buy remaining),3.0,W2023,AMZN,
SELL,2024-05-23,181.05,1031,186289.41156255003,11.8801,AND: sentiment 11.9 > 10 & price < MA50,,W2024,AMZN,39.81311980407262
BUY,2024-07-17,187.93,197,37096.29144220999,3.8251,Interval B1: sentiment 3.8 < 5 (enter buy mode),1.0,W2024,AMZN,
BUY,2024-07-24,180.83,205,37144.32737015,-5.3338,Interval B2: 7d since last buy,2.0,W2024,AMZN,
BUY,2024-07-31,186.98,198,37096.121102039986,-7.6133,Interval B3: 7d since last buy,3.0,W2024,AMZN,
BUY,2024-08-07,162.77,228,37185.82023155999,-5.2104,Interval B4: 7d since last buy,4.0,W2024,AMZN,
BUY,2024-08-14,170.1,218,37156.00068179999,0.2824,Interval B5: 7d since last buy,5.0,W2024,AMZN,
BUY,2024-08-20,178.88,3,537.7138166399999,6.9108,Recovery ALL: sentiment 6.9 >= 5 (buy remaining),5.0,W2024,AMZN,
BUY,2020-02-27,189.75,105,19963.617423749994,1.6872,Interval B1: sentiment 1.7 < 5 (enter buy mode),1.0,W2020,META,
BUY,2020-03-05,185.17,107,19852.836193189993,0.0261,Interval B2: 7d since last buy,2.0,W2020,META,
BUY,2020-03-12,154.47,129,19966.503186629994,-8.4704,Interval B3: 7d since last buy,3.0,W2020,META,
BUY,2020-03-19,153.13,130,19946.733706899995,-11.3655,Interval B4: 7d since last buy,4.0,W2020,META,
BUY,2020-03-26,163.34,122,19967.354887479996,-9.6138,Interval B5: 7d since last buy,5.0,W2020,META,
BUY,2020-04-24,190.07,1,190.45033006999995,5.4493,Recovery ALL: sentiment 5.4 >= 5 (buy remaining),20.0,W2020,META,
SELL,2020-07-24,230.71,594,136767.79356174002,26.1466,AND: sentiment 26.1 > 15 & price < MA50,,W2020,META,36.92183647705017
BUY,2020-09-18,252.53,108,27327.813753239992,4.1421,Interval B1: sentiment 4.1 < 5 (enter buy mode),1.0,W2020,META,
BUY,2020-09-25,254.82,107,27320.298745739994,-0.5323,Interval B2: 7d since last buy,2.0,W2020,META,
BUY,2020-10-02,259.94,105,27348.31469369999,4.2703,Interval B3: 7d since last buy,3.0,W2020,META,
BUY,2020-10-05,264.65,206,54626.99031789998,6.139,Recovery ALL: sentiment 6.1 >= 5 (buy remaining),3.0,W2020,META,
SELL,2023-03-14,194.02,526,101850.51301452,34.1271,OR: sentiment 34.1 > 30,,W2023,META,-25.45164301234611
BUY,2023-10-26,288.35,70,20224.8891845,2.159,Interval B1: sentiment 2.2 < 5 (enter buy mode),1.0,W2023,META,
BUY,2023-11-02,310.87,65,20246.98330655,-0.0217,Interval B2: 7d since last buy,2.0,W2023,META,
BUY,2023-11-09,320.55,63,20235.059494649995,3.1308,Interval B3: 7d since last buy,3.0,W2023,META,
BUY,2023-11-10,328.77,125,41178.48359624999,5.0146,Recovery ALL: sentiment 5.0 >= 5 (buy remaining),3.0,W2023,META,
SELL,2024-04-19,481.07,323,155074.99416561,16.3748,AND: sentiment 16.4 > 15 & price < MA50,,W2024,META,52.20529187602694
BUY,2024-07-15,496.16,62,30823.474601919992,4.5795,Interval B1: sentiment 4.6 < 5 (enter buy mode),1.0,W2024,META,
BUY,2024-07-22,487.4,63,30767.64310619999,-6.096,Interval B2: 7d since last buy,2.0,W2024,META,
BUY,2024-07-29,465.71,66,30798.364456859992,-15.0147,Interval B3: 7d since last buy,3.0,W2024,META,
BUY,2024-08-05,475.73,65,30984.325822449995,-9.9251,Interval B4: 7d since last buy,4.0,W2024,META,
BUY,2024-08-12,515.95,60,31018.944957,-0.4997,Interval B5: 7d since last buy,5.0,W2024,META,
BUY,2024-08-16,527.42,1,528.4753674199998,5.4651,Recovery ALL: sentiment 5.5 >= 5 (buy remaining),5.0,W2024,META,
SELL,2025-09-02,735.11,317,232564.04328987,19.1826,AND: sentiment 19.2 > 15 & price < MA50,,W2025,META,50.117608686737434
BUY,2025-09-26,743.75,62,46204.77111249999,4.8877,Interval B1: sentiment 4.9 < 5 (enter buy mode),1.0,W2025,META,
BUY,2025-10-03,710.56,65,46278.81898639998,2.6555,Interval B2: 7d since last buy,2.0,W2025,META,
BUY,2025-10-09,733.51,191,140380.75092040998,5.7797,Recovery ALL: sentiment 5.8 >= 5 (buy remaining),2.0,W2025,META,
